City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Tiznit,MA,29.5833,-9.5,58.12,80,15,2.21,few clouds
319,Biltine,TD,14.5333,20.9167,78.57,17,11,7.96,few clouds
320,Paamiut,GL,61.994,-49.6678,30.78,69,99,14.5,overcast clouds
321,Smolenskaya,RU,44.7887,38.8018,33.62,78,0,3.09,clear sky
322,Malakal,SS,9.5334,31.6605,73.18,81,62,3.74,broken clouds
323,San Vicente,AR,-26.6167,-54.1333,60.66,74,46,3.44,light rain
324,Derzhavinsk,KZ,51.1,66.3167,30.65,46,74,14.25,broken clouds
325,Kumluca,TR,36.3703,30.2869,67.1,62,100,3.02,light rain
326,Kolokani,ML,13.5728,-8.0339,79.99,40,17,6.69,few clouds
327,Alappuzha,IN,9.49,76.3264,74.41,95,100,1.68,overcast clouds
328,Garissa,KE,-0.4536,39.6401,73.87,87,36,11.63,scattered clouds
329,Espanola,US,35.9911,-106.0806,51.66,36,0,7.36,clear sky
330,Syava,RU,58.0146,46.3222,40.98,86,99,11.12,overcast clouds
331,Bandarbeyla,SO,9.4942,50.8122,74.79,71,0,4.97,clear sky
332,Koszalin,PL,54.1944,16.1722,54.88,85,100,11.92,overcast clouds
333,Boulsa,BF,12.6675,-0.5758,82.74,43,90,7.4,overcast clouds
334,Hambantota,LK,6.1241,81.1185,75.54,100,20,5.75,few clouds
335,Bani Walid,LY,31.7566,13.9942,64.24,78,0,12.39,clear sky
336,Moussoro,TD,13.6408,16.4901,82.36,15,59,9.55,broken clouds
337,Pasni,PK,25.2631,63.471,77.13,60,0,1.05,clear sky
338,Lingsugur,IN,16.1667,76.5167,69.64,66,72,7.14,broken clouds
339,Tefe,BR,-3.3542,-64.7114,73.6,99,96,1.32,overcast clouds
340,Carnarvon,AU,-24.8667,113.6333,69.87,35,90,17.27,overcast clouds
341,Porto Velho,BR,-8.7619,-63.9039,80.65,78,20,3.44,few clouds
342,Gilau,RO,46.7324,23.3617,27.05,58,18,2.84,few clouds
343,Turkistan,KZ,43.0,68.0,48.2,49,100,8.97,overcast clouds
344,Ondjiva,AO,-17.0667,15.7333,69.82,41,48,5.01,scattered clouds
345,Atbasar,KZ,51.8,68.3333,29.16,48,57,13.22,broken clouds
346,Uige,AO,-7.6087,15.0613,67.57,98,97,1.3,overcast clouds
